 CustomerID , Age , Gender , Region , SubscriptionPlan , Tenure months , MonthlySpend , SupportTickets , LastLoginDaysAgo , Churn , ChurnStatus 
 CUST1000 , 56.00 , Female , East , Basic , 13.00 , ? 629.45 , 2.00 , 6.00 , 1.00 , Churned 
 CUST1001 , 69.00 , Male , North , Standard , 33.00 ," ? 1,016.46 ", 1.00 , 21.00 , 1.00 , Churned 
 CUST1002 , 46.00 , Male , North , Premium , 6.00 ," ? 1,111.01 ", -   , 73.00 , -   , Stayed 
 CUST1003 , 32.00 , Female , North , Standard , 24.00 , ? 831.26 , 1.00 , 52.00 , -   , Stayed 
 CUST1004 , 60.00 , Male , West , Standard , 19.00 , ? 834.95 , -   , 78.00 , -   , Stayed 
 CUST1005 , 25.00 , Male , South , Premium , 16.00 ," ? 1,169.42 ", -   , 78.00 , -   , Stayed 
 CUST1006 , 38.00 , Female , West , Standard , 28.00 , ? 318.99 , 2.00 , 3.00 , 1.00 , Churned 
 CUST1007 , 56.00 , Male , North , Premium , 33.00 , ? 709.31 , 1.00 , 22.00 , -   , Stayed 
 CUST1008 , 36.00 , Male , South , Standard , 13.00 ," ? 1,282.45 ", -   , 69.00 , -   , Stayed 
 CUST1009 , 40.00 , Male , North , Premium , 25.00 ," ? 1,023.86 ", 2.00 , 87.00 , -   , Stayed 
 CUST1010 , 28.00 , Female , West , Basic , 27.00 , ? 704.67 , 1.00 , 83.00 , 1.00 , Churned 
 CUST1011 , 28.00 , Female , West , Premium , 7.00 ," ? 1,386.63 ", 1.00 , 83.00 , -   , Stayed 
 CUST1012 , 41.00 , Female , West , Premium , 5.00 ," ? 1,227.15 ", 1.00 , 75.00 , -   , Stayed 
 CUST1013 , 53.00 , Male , North , Premium , 31.00 , ? 617.87 , 2.00 , 32.00 , -   , Stayed 
 CUST1014 , 57.00 , Male , South , Premium , 23.00 ," ? 1,074.35 ", 2.00 , 27.00 , 1.00 , Churned 
 CUST1015 , 41.00 , Female , South , Standard , 10.00 ," ? 1,014.90 ", 3.00 , 7.00 , -   , Stayed 
 CUST1016 , 20.00 , Male , North , Basic , 32.00 , ? 781.43 , -   , -   , -   , Stayed 
 CUST1017 , 39.00 , Male , South , Premium , 30.00 , ? 740.35 , 3.00 , 36.00 , -   , Stayed 
 CUST1018 , 19.00 , Female , North , Standard , 31.00 , ? 712.27 , -   , 62.00 , -   , Stayed 
 CUST1019 , 41.00 , Female , South , Basic , 18.00 ," ? 1,040.59 ", 4.00 , 21.00 , -   , Stayed 
 CUST1020 , 61.00 , Male , East , Basic , 2.00 , ? 830.89 , -   , 69.00 , 1.00 , Churned 
 CUST1021 , 47.00 , Male , East , Basic , 14.00 ," ? 1,298.24 ", 1.00 , 20.00 , 1.00 , Churned 
 CUST1022 , 55.00 , Male , West , Basic , 13.00 ," ? 1,103.52 ", -   , 34.00 , -   , Stayed 
 CUST1023 , 19.00 , Female , East , Premium , 29.00 , ? 383.92 , 1.00 , 78.00 , 1.00 , Churned 
 CUST1024 , 38.00 , Female , East , Premium , 12.00 ," ? 1,068.20 ", 2.00 , 4.00 , -   , Stayed 
 CUST1025 , 50.00 , Female , East , Standard , 2.00 , ? 625.38 , 2.00 , 59.00 , 1.00 , Churned 
 CUST1026 , 29.00 , Female , North , Standard , 32.00 ," ? 1,011.37 ", 4.00 , 45.00 , 1.00 , Churned 
 CUST1027 , 39.00 , Male , East , Standard , 13.00 ," ? 1,116.16 ", 1.00 , 49.00 , -   , Stayed 
 CUST1028 , 61.00 , Female , East , Basic , 27.00 , ? 577.00 , 2.00 , 47.00 , 1.00 , Churned 
 CUST1029 , 42.00 , Female , West , Basic , 17.00 , ? 848.23 , -   , 5.00 , -   , Stayed 
 CUST1030 , 66.00 , Female , East , Premium , 31.00 , ? 528.39 , -   , 88.00 , -   , Stayed 
 CUST1031 , 44.00 , Female , East , Basic , 34.00 , ? 362.81 , 3.00 , 55.00 , -   , Stayed 
 CUST1032 , 59.00 , Female , South , Basic , 24.00 , ? 754.17 , -   , 58.00 , -   , Stayed 
 CUST1033 , 45.00 , Male , West , Basic , 35.00 , ? 735.53 , 2.00 , 28.00 , 1.00 , Churned 
 CUST1034 , 33.00 , Male , West , Standard , 6.00 ," ? 1,494.58 ", 3.00 , 70.00 , 1.00 , Churned 
 CUST1035 , 32.00 , Female , West , Standard , 19.00 , ? 835.62 , -   , 76.00 , -   , Stayed 
 CUST1036 , 64.00 , Male , West , Premium , 30.00 , ? 700.28 , 1.00 , 17.00 , 1.00 , Churned 
 CUST1037 , 68.00 , Female , West , Basic , 7.00 , ? 996.57 , 1.00 , 1.00 , 1.00 , Churned 
 CUST1038 , 61.00 , Female , West , Basic , 10.00 , ? 406.52 , 1.00 , 7.00 , -   , Stayed 
 CUST1039 , 69.00 , Male , North , Premium , 32.00 ," ? 1,454.00 ", 2.00 , 74.00 , -   , Stayed 
 CUST1040 , 20.00 , Male , East , Basic , 34.00 ," ? 1,061.95 ", -   , 53.00 , -   , Stayed 
 CUST1041 , 54.00 , Female , West , Basic , 28.00 ," ? 1,205.81 ", 2.00 , 37.00 , -   , Stayed 
 CUST1042 , 68.00 , Female , East , Standard , 15.00 , ? 504.57 , 1.00 , 47.00 , 1.00 , Churned 
 CUST1043 , 24.00 , Female , East , Premium , 30.00 , ? 791.37 , 3.00 , 26.00 , -   , Stayed 
 CUST1044 , 38.00 , Male , North , Premium , 29.00 , ? 807.23 , 1.00 , 19.00 , 1.00 , Churned 
 CUST1045 , 26.00 , Female , West , Premium , 22.00 ," ? 1,286.17 ", -   , 11.00 , -   , Stayed 
 CUST1046 , 56.00 , Female , South , Premium , 4.00 , ? 301.48 , 3.00 , 42.00 , -   , Stayed 
 CUST1047 , 35.00 , Female , North , Standard , 20.00 , ? 661.02 , -   , 60.00 , -   , Stayed 
 CUST1048 , 21.00 , Male , South , Standard , 32.00 ," ? 1,477.48 ", 1.00 , 30.00 , -   , Stayed 
 CUST1049 , 42.00 , Female , East , Basic , 4.00 , ? 869.86 , 1.00 , 60.00 , -   , Stayed 
 CUST1050 , 31.00 , Female , East , Basic , 27.00 , ? 759.03 , -   , 73.00 , -   , Stayed 
 CUST1051 , 67.00 , Male , North , Basic , 17.00 , ? 443.79 , 2.00 , 66.00 , -   , Stayed 
 CUST1052 , 26.00 , Female , North , Basic , 12.00 ," ? 1,469.00 ", -   , 34.00 , -   , Stayed 
 CUST1053 , 43.00 , Female , South , Standard , 22.00 , ? 324.03 , 1.00 , 14.00 , -   , Stayed 
 CUST1054 , 19.00 , Male , West , Premium , 17.00 ," ? 1,184.62 ", 1.00 , 15.00 , 1.00 , Churned 
 CUST1055 , 37.00 , Female , South , Standard , 10.00 ," ? 1,222.32 ", 6.00 , 12.00 , -   , Stayed 
 CUST1056 , 45.00 , Male , North , Basic , 1.00 , ? 592.39 , 2.00 , 34.00 , -   , Stayed 
 CUST1057 , 64.00 , Male , South , Standard , 22.00 ," ? 1,105.87 ", 2.00 , 74.00 , -   , Stayed 
 CUST1058 , 24.00 , Female , North , Premium , 26.00 , ? 411.51 , -   , 58.00 , -   , Stayed 
 CUST1059 , 61.00 , Female , South , Premium , 18.00 , ? 608.46 , -   , 20.00 , 1.00 , Churned 
 CUST1060 , 25.00 , Female , North , Standard , 14.00 ," ? 1,245.48 ", 1.00 , 53.00 , -   , Stayed 
 CUST1061 , 64.00 , Female , North , Standard , 29.00 ," ? 1,337.62 ", 1.00 , 74.00 , -   , Stayed 
 CUST1062 , 52.00 , Male , North , Standard , 12.00 ," ? 1,030.18 ", 1.00 , 29.00 , 1.00 , Churned 
 CUST1063 , 31.00 , Female , West , Basic , 35.00 , ? 908.21 , 1.00 , 47.00 , -   , Stayed 
 CUST1064 , 34.00 , Male , South , Standard , 12.00 , ? 491.16 , 1.00 , 34.00 , -   , Stayed 
 CUST1065 , 53.00 , Female , South , Standard , 7.00 , ? 375.73 , 3.00 , 85.00 , -   , Stayed 
 CUST1066 , 67.00 , Female , South , Standard , 29.00 , ? 441.18 , 4.00 , 37.00 , -   , Stayed 
 CUST1067 , 57.00 , Female , North , Premium , 11.00 , ? 572.83 , 1.00 , 30.00 , -   , Stayed 
 CUST1068 , 21.00 , Male , South , Premium , 33.00 , ? 710.01 , 3.00 , 77.00 , -   , Stayed 
 CUST1069 , 19.00 , Female , South , Basic , 6.00 , ? 757.09 , -   , 23.00 , 1.00 , Churned 
 CUST1070 , 23.00 , Female , North , Basic , 15.00 , ? 715.59 , 2.00 , 48.00 , 1.00 , Churned 
 CUST1071 , 59.00 , Female , East , Premium , 32.00 , ? 586.87 , -   , 31.00 , -   , Stayed 
 CUST1072 , 21.00 , Female , North , Premium , 11.00 , ? 911.67 , 1.00 , 54.00 , -   , Stayed 
 CUST1073 , 46.00 , Male , South , Premium , 23.00 ," ? 1,290.34 ", 1.00 , 78.00 , 1.00 , Churned 
 CUST1074 , 35.00 , Female , North , Standard , 26.00 , ? 635.64 , 1.00 , 57.00 , -   , Stayed 
 CUST1075 , 43.00 , Male , East , Standard , 34.00 ," ? 1,430.86 ", 2.00 , 2.00 , 1.00 , Churned 
 CUST1076 , 61.00 , Male , North , Premium , 34.00 ," ? 1,348.00 ", 1.00 , 79.00 , 1.00 , Churned 
 CUST1077 , 51.00 , Male , South , Standard , 29.00 , ? 494.12 , -   , 68.00 , 1.00 , Churned 
 CUST1078 , 27.00 , Male , East , Standard , 4.00 ," ? 1,243.53 ", 3.00 , 84.00 , -   , Stayed 
 CUST1079 , 53.00 , Male , West , Basic , 17.00 , ? 989.50 , 1.00 , 9.00 , -   , Stayed 
 CUST1080 , 31.00 , Male , South , Premium , 35.00 , ? 979.89 , 1.00 , 82.00 , -   , Stayed 
 CUST1081 , 48.00 , Female , East , Premium , 13.00 , ? 769.25 , 2.00 , 24.00 , 1.00 , Churned 
 CUST1082 , 65.00 , Male , East , Standard , 15.00 , ? 901.38 , 2.00 , 67.00 , -   , Stayed 
 CUST1083 , 32.00 , Male , West , Premium , 29.00 , ? 776.61 , 2.00 , 60.00 , 1.00 , Churned 
 CUST1084 , 25.00 , Male , North , Basic , 29.00 , ? 947.68 , -   , 28.00 , -   , Stayed 
 CUST1085 , 31.00 , Female , North , Basic , 11.00 ," ? 1,053.54 ", 2.00 , 18.00 , -   , Stayed 
 CUST1086 , 40.00 , Female , South , Basic , 32.00 ," ? 1,109.16 ", 1.00 , 42.00 , -   , Stayed 
 CUST1087 , 57.00 , Male , West , Premium , 2.00 , ? 938.98 , 2.00 , 65.00 , -   , Stayed 
 CUST1088 , 38.00 , Female , North , Premium , 14.00 ," ? 1,165.71 ", 1.00 , 73.00 , -   , Stayed 
 CUST1089 , 33.00 , Male , West , Premium , 20.00 , ? 469.53 , 3.00 , 60.00 , -   , Stayed 
 CUST1090 , 62.00 , Male , North , Premium , 22.00 , ? 554.38 , 2.00 , 42.00 , 1.00 , Churned 
 CUST1091 , 35.00 , Female , East , Premium , 11.00 ," ? 1,282.48 ", 1.00 , 24.00 , -   , Stayed 
 CUST1092 , 64.00 , Male , North , Basic , 27.00 , ? 687.03 , -   , 19.00 , -   , Stayed 
 CUST1093 , 41.00 , Female , West , Standard , 3.00 , ? 327.47 , 1.00 , 47.00 , -   , Stayed 
 CUST1094 , 43.00 , Female , East , Basic , 17.00 , ? 484.55 , 2.00 , 82.00 , 1.00 , Churned 
 CUST1095 , 42.00 , Male , East , Premium , 28.00 , ? 568.34 , 3.00 , 86.00 , 1.00 , Churned 
 CUST1096 , 62.00 , Male , East , Basic , 29.00 ," ? 1,448.79 ", -   , 23.00 , -   , Stayed 
 CUST1097 , 58.00 , Female , West , Premium , 21.00 , ? 987.65 , 1.00 , 10.00 , 1.00 , Churned 
 CUST1098 , 46.00 , Male , South , Premium , 16.00 ," ? 1,419.28 ", 2.00 , 54.00 , 1.00 , Churned 
 CUST1099 , 32.00 , Male , South , Basic , 20.00 , ? 990.20 , 3.00 , 27.00 , -   , Stayed 
 CUST1100 , 62.00 , Male , South , Premium , 6.00 , ? 875.23 , 1.00 , 68.00 , -   , Stayed 
 CUST1101 , 18.00 , Female , West , Standard , 19.00 , ? 676.47 , 1.00 , 62.00 , -   , Stayed 
 CUST1102 , 42.00 , Female , East , Premium , 5.00 ," ? 1,027.65 ", 3.00 , 58.00 , -   , Stayed 
 CUST1103 , 24.00 , Male , South , Standard , 3.00 , ? 467.04 , 2.00 , 4.00 , 1.00 , Churned 
 CUST1104 , 26.00 , Female , West , Standard , 1.00 ," ? 1,377.91 ", 2.00 , 50.00 , -   , Stayed 
 CUST1105 , 41.00 , Female , South , Premium , 15.00 ," ? 1,295.20 ", 2.00 , 20.00 , 1.00 , Churned 
 CUST1106 , 18.00 , Female , North , Basic , 34.00 , ? 681.04 , 3.00 , 11.00 , -   , Stayed 
 CUST1107 , 61.00 , Female , South , Standard , 35.00 ," ? 1,443.36 ", 2.00 , 49.00 , -   , Stayed 
 CUST1108 , 25.00 , Female , South , Basic , 25.00 ," ? 1,290.24 ", 3.00 , 3.00 , -   , Stayed 
 CUST1109 , 41.00 , Male , East , Standard , 24.00 ," ? 1,099.57 ", 1.00 , 41.00 , -   , Stayed 
 CUST1110 , 28.00 , Male , West , Premium , 12.00 , ? 446.11 , -   , 83.00 , 1.00 , Churned 
 CUST1111 , 68.00 , Male , East , Premium , 18.00 , ? 873.88 , -   , 37.00 , 1.00 , Churned 
 CUST1112 , 34.00 , Female , East , Standard , 15.00 , ? 907.33 , -   , 24.00 , -   , Stayed 
 CUST1113 , 25.00 , Female , East , Premium , 16.00 , ? 579.06 , 3.00 , 13.00 , -   , Stayed 
 CUST1114 , 52.00 , Male , East , Standard , 27.00 , ? 395.96 , 4.00 , 74.00 , -   , Stayed 
 CUST1115 , 52.00 , Female , East , Premium , 8.00 ," ? 1,232.07 ", -   , 31.00 , -   , Stayed 
 CUST1116 , 50.00 , Male , South , Basic , 25.00 , ? 446.44 , 3.00 , 10.00 , -   , Stayed 
 CUST1117 , 22.00 , Male , East , Premium , 17.00 ," ? 1,013.15 ", 2.00 , 60.00 , -   , Stayed 
 CUST1118 , 59.00 , Male , East , Basic , 29.00 ," ? 1,423.74 ", 2.00 , 17.00 , -   , Stayed 
 CUST1119 , 56.00 , Female , West , Premium , 8.00 ," ? 1,351.33 ", -   , 26.00 , 1.00 , Churned 
 CUST1120 , 58.00 , Female , North , Basic , 15.00 , ? 633.30 , 3.00 , 54.00 , -   , Stayed 
 CUST1121 , 45.00 , Male , South , Premium , 27.00 ," ? 1,321.74 ", 1.00 , 53.00 , -   , Stayed 
 CUST1122 , 24.00 , Male , South , Basic , 7.00 , ? 300.40 , 2.00 , 81.00 , -   , Stayed 
 CUST1123 , 26.00 , Male , South , Standard , 3.00 , ? 321.23 , 1.00 , 86.00 , -   , Stayed 
 CUST1124 , 25.00 , Male , East , Standard , 29.00 ," ? 1,023.06 ", 1.00 , 74.00 , -   , Stayed 
 CUST1125 , 29.00 , Female , East , Basic , 24.00 , ? 737.76 , 1.00 , 20.00 , 1.00 , Churned 
 CUST1126 , 51.00 , Female , East , Premium , 3.00 , ? 763.75 , 1.00 , 43.00 , 1.00 , Churned 
 CUST1127 , 50.00 , Male , West , Basic , 20.00 , ? 977.33 , 1.00 , 4.00 , -   , Stayed 
 CUST1128 , 65.00 , Male , North , Premium , 15.00 , ? 530.14 , 3.00 , 86.00 , -   , Stayed 
 CUST1129 , 40.00 , Female , East , Standard , 25.00 , ? 554.11 , 1.00 , 40.00 , -   , Stayed 
 CUST1130 , 41.00 , Female , North , Premium , 30.00 , ? 881.52 , 2.00 , 58.00 , 1.00 , Churned 
 CUST1131 , 54.00 , Male , West , Standard , 14.00 ," ? 1,205.10 ", -   , 88.00 , -   , Stayed 
 CUST1132 , 52.00 , Male , South , Premium , 7.00 ," ? 1,043.40 ", 3.00 , 53.00 , -   , Stayed 
 CUST1133 , 61.00 , Male , East , Premium , 17.00 , ? 656.83 , 1.00 , 73.00 , -   , Stayed 
 CUST1134 , 57.00 , Female , North , Premium , 20.00 , ? 816.40 , -   , 21.00 , -   , Stayed 
 CUST1135 , 39.00 , Female , North , Basic , 9.00 , ? 504.80 , 1.00 , 82.00 , -   , Stayed 
 CUST1136 , 44.00 , Female , East , Basic , 22.00 , ? 389.56 , 2.00 , 64.00 , 1.00 , Churned 
 CUST1137 , 52.00 , Male , South , Standard , 2.00 ," ? 1,239.24 ", -   , 63.00 , -   , Stayed 
 CUST1138 , 18.00 , Male , South , Standard , 24.00 , ? 618.46 , -   , 70.00 , -   , Stayed 
 CUST1139 , 52.00 , Female , South , Basic , 8.00 , ? 513.32 , 2.00 , 3.00 , -   , Stayed 
 CUST1140 , 54.00 , Female , West , Standard , 11.00 ," ? 1,129.94 ", 1.00 , 64.00 , 1.00 , Churned 
 CUST1141 , 64.00 , Male , North , Basic , 13.00 ," ? 1,041.66 ", 1.00 , 14.00 , 1.00 , Churned 
 CUST1142 , 31.00 , Female , North , Premium , 17.00 ," ? 1,059.83 ", 2.00 , 75.00 , -   , Stayed 
 CUST1143 , 20.00 , Female , North , Standard , 8.00 , ? 574.67 , 1.00 , 21.00 , 1.00 , Churned 
 CUST1144 , 18.00 , Male , West , Standard , 21.00 , ? 579.17 , 2.00 , 85.00 , -   , Stayed 
 CUST1145 , 22.00 , Female , North , Basic , 18.00 , ? 564.96 , 1.00 , 46.00 , -   , Stayed 
 CUST1146 , 43.00 , Male , West , Standard , 30.00 , ? 508.50 , -   , 80.00 , -   , Stayed 
 CUST1147 , 31.00 , Male , South , Standard , 18.00 ," ? 1,086.87 ", 4.00 , 45.00 , -   , Stayed 
 CUST1148 , 56.00 , Male , East , Premium , 31.00 ," ? 1,317.62 ", -   , 13.00 , -   , Stayed 
 CUST1149 , 44.00 , Male , North , Standard , 32.00 ," ? 1,169.18 ", 1.00 , 49.00 , -   , Stayed 
 CUST1150 , 26.00 , Male , North , Premium , 11.00 ," ? 1,250.51 ", 2.00 , 19.00 , -   , Stayed 
 CUST1151 , 32.00 , Male , South , Basic , 25.00 , ? 785.76 , -   , 49.00 , 1.00 , Churned 
 CUST1152 , 32.00 , Male , East , Standard , 33.00 ," ? 1,084.89 ", 2.00 , 32.00 , -   , Stayed 
 CUST1153 , 43.00 , Female , West , Premium , 8.00 , ? 725.08 , 2.00 , 58.00 , -   , Stayed 
 CUST1154 , 59.00 , Male , East , Basic , 11.00 , ? 930.61 , 2.00 , 42.00 , -   , Stayed 
 CUST1155 , 30.00 , Male , South , Standard , 22.00 , ? 877.96 , 1.00 , 78.00 , 1.00 , Churned 
 CUST1156 , 68.00 , Female , South , Basic , 24.00 , ? 512.26 , 2.00 , 11.00 , -   , Stayed 
 CUST1157 , 49.00 , Female , East , Standard , 17.00 , ? 764.49 , 2.00 , 39.00 , -   , Stayed 
 CUST1158 , 56.00 , Female , West , Basic , 12.00 ," ? 1,456.59 ", 1.00 , 19.00 , 1.00 , Churned 
 CUST1159 , 66.00 , Male , West , Basic , 32.00 , ? 598.30 , 3.00 , 37.00 , -   , Stayed 
 CUST1160 , 69.00 , Female , North , Premium , 15.00 , ? 460.56 , 2.00 , 2.00 , -   , Stayed 
 CUST1161 , 49.00 , Male , West , Basic , 16.00 , ? 802.30 , 1.00 , 27.00 , 1.00 , Churned 
 CUST1162 , 21.00 , Male , East , Standard , 22.00 ," ? 1,248.41 ", 2.00 , 55.00 , -   , Stayed 
 CUST1163 , 47.00 , Male , South , Standard , 28.00 , ? 998.58 , 2.00 , 89.00 , -   , Stayed 
 CUST1164 , 54.00 , Male , North , Premium , 20.00 ," ? 1,117.17 ", 3.00 , 12.00 , -   , Stayed 
